region,anomaly_type,count,avg_severity
Тверская область,logical_inconsistency,162,67.42938271604937
Тверская область,statistical_outlier,10,78.0
Томская область,cross_source_discrepancy,19,70.0
Томская область,geographic_anomaly,37,92.37837837837837
Томская область,logical_inconsistency,17,66.01058823529412
Томская область,statistical_outlier,11,81.81818181818181
Тульская область,cross_source_discrepancy,26,70.0
Тульская область,geographic_anomaly,39,91.5
Тульская область,logical_inconsistency,93,63.5205376344086
Тульская область,statistical_outlier,14,75.71428571428571
Тюменская область,cross_source_discrepancy,26,70.0
Тюменская область,geographic_anomaly,80,93.90625
Тюменская область,logical_inconsistency,7,56.58428571428572
Тюменская область,statistical_outlier,17,75.29411764705883
Удмуртская Республика,cross_source_discrepancy,30,70.0
Удмуртская Республика,geographic_anomaly,73,93.05479452054794
Удмуртская Республика,logical_inconsistency,32,79.388125
Удмуртская Республика,statistical_outlier,8,90.0
Ульяновская область,cross_source_discrepancy,24,70.0
Ульяновская область,geographic_anomaly,45,94.36666666666666
Ульяновская область,statistical_outlier,8,88.75
Хабаровский край,cross_source_discrepancy,16,70.0
Хабаровский край,geographic_anomaly,28,94.35714285714286
Хабаровский край,logical_inconsistency,22,70.59636363636363
Хабаровский край,statistical_outlier,33,74.54545454545455
Ханты-Мансийский автономный округ — Югра,cross_source_discrepancy,22,70.0
Ханты-Мансийский автономный округ — Югра,geographic_anomaly,37,88.54054054054055
Ханты-Мансийский автономный округ — Югра,logical_inconsistency,8,62.86125
Ханты-Мансийский автономный округ — Югра,statistical_outlier,95,60.8421052631579
Челябинская область,cross_source_discrepancy,40,70.0
Челябинская область,geographic_anomaly,72,93.22916666666667
Челябинская область,logical_inconsistency,36,67.31666666666666
Челябинская область,statistical_outlier,27,70.0
Чеченская Республика,cross_source_discrepancy,17,70.0
Чеченская Республика,geographic_anomaly,25,95.32
Чеченская Республика,logical_inconsistency,94,71.44861702127659
Чеченская Республика,statistical_outlier,46,79.1304347826087
Чувашская Республика,cross_source_discrepancy,26,70.0
Чувашская Республика,geographic_anomaly,55,93.26363636363637
Чувашская Республика,logical_inconsistency,27,81.29629629629629
Чувашская Республика,statistical_outlier,18,78.88888888888889
Чукотский автономный округ,cross_source_discrepancy,2,70.0
Чукотский автономный округ,geographic_anomaly,83,90.49397590361446
Чукотский автономный округ,logical_inconsistency,24,77.5
Чукотский автономный округ,statistical_outlier,92,77.71739130434783
Ямало-Ненецкий автономный округ,cross_source_discrepancy,13,70.0
Ямало-Ненецкий автономный округ,geographic_anomaly,81,89.88888888888889
Ямало-Ненецкий автономный округ,logical_inconsistency,28,75.31321428571428
Ямало-Ненецкий автономный округ,statistical_outlier,155,71.54838709677419
Ярославская область,cross_source_discrepancy,19,70.0
Ярославская область,geographic_anomaly,38,93.32894736842105
Ярославская область,logical_inconsistency,27,66.38407407407406
Ярославская область,statistical_outlier,11,77.27272727272727
